City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,vestmannaeyjar,63.4427,-20.2734,-1.45,80,40,16.98,IS,1675880600
217,fortuna,40.5982,-124.1573,9.4,93,100,0.45,US,1675880597
218,asau,46.4333,26.4,-9.29,96,49,2.05,RO,1675880563
219,turayf,31.6725,38.6637,4.14,75,40,5.14,SA,1675880704
220,baykit,61.67,96.37,-16.52,99,100,0.33,RU,1675881139
221,moose factory,51.2585,-80.6094,-10.0,67,0,1.54,CA,1675881140
222,victoria,22.2855,114.1577,18.87,91,100,5.36,HK,1675880411
223,upington,-28.4478,21.2561,21.21,73,20,10.29,ZA,1675881106
224,eldama ravine,0.0516,35.7308,17.75,44,96,2.66,KE,1675881141
225,lai,9.3952,16.2989,29.81,13,10,2.49,TD,1675881142
226,stornoway,58.2093,-6.3865,2.98,89,75,8.75,GB,1675880622
227,belaya gora,68.5333,146.4167,-41.49,99,100,1.45,RU,1675881143
228,magadan,59.5667,150.8,-27.26,79,63,3.26,RU,1675881144
229,redlands,34.0556,-117.1825,20.53,26,0,0.45,US,1675881145
230,tacuarembo,-31.7333,-55.9833,38.42,14,100,4.57,UY,1675881146
231,bethel,41.3712,-73.414,10.2,55,20,6.17,US,1675880634
232,lieksa,63.3167,30.0167,0.75,90,100,7.02,FI,1675881147
233,broome,42.2506,-75.833,7.61,57,0,4.63,US,1675881149
234,ossora,59.2353,163.0719,-17.78,96,100,4.77,RU,1675881149
235,kupang,-10.1667,123.5833,26.24,85,100,2.82,ID,1675881150
236,byron bay,-28.65,153.6167,19.41,84,65,3.58,AU,1675880606
237,samarai,-10.6167,150.6667,25.9,87,100,6.4,PG,1675881152
238,itaituba,-4.2761,-55.9836,31.09,66,75,3.09,BR,1675881152
239,ippy,6.2679,21.2247,28.1,12,9,2.26,CF,1675881153
240,itoman,26.1247,127.6694,18.01,79,20,6.17,JP,1675881154
241,canatlan,24.5167,-104.7833,16.73,16,99,3.24,MX,1675881154
242,kankan,10.3854,-9.3057,31.11,16,1,1.2,GN,1675881155
243,saint-paul,-21.0096,55.2707,26.06,80,52,1.69,RE,1675881155
244,hobyo,5.3505,48.5268,24.94,84,6,5.66,SO,1675881158
245,metro,-5.1131,105.3067,23.86,90,100,0.37,ID,1675881159
246,gamba,-2.65,10.0,26.84,84,58,3.73,GA,1675880892
247,schwanewede,53.2333,8.6,2.14,70,10,2.85,DE,1675881160
248,saint anthony,45.0205,-93.218,4.03,66,0,5.14,US,1675880571
249,altusried,47.8,10.2167,-3.74,93,9,1.51,DE,1675881164
250,pirgos,35.1167,25.7178,7.57,51,100,8.07,GR,1675881164
251,poum,-20.2333,164.0167,27.09,81,100,4.01,NC,1675880629
252,auriflama,-20.6856,-50.5547,29.41,60,29,1.78,BR,1675881165
253,kanke,23.4333,85.3167,18.01,52,0,2.06,IN,1675881165
254,deputatskiy,69.3,139.9,-42.93,99,91,1.92,RU,1675881166
255,wanaka,-44.7,169.15,7.59,74,3,1.36,NZ,1675881167
256,tabuk,17.4189,121.4443,19.58,91,93,1.74,PH,1675881167
257,teguldet,57.3064,88.1667,-15.97,98,98,1.65,RU,1675880507
258,mehran,33.1222,46.1646,9.83,64,51,3.51,IR,1675881167
259,gien,47.6933,2.6309,2.53,63,0,1.87,FR,1675881168
260,cidreira,-30.1811,-50.2056,26.8,74,0,6.83,BR,1675881169
261,burias,11.4463,122.5497,24.35,89,100,1.55,PH,1675881169
262,omsukchan,62.5333,155.8,-40.17,99,75,1.79,RU,1675881170
263,komsomolskiy,40.4272,71.7189,4.4,75,100,2.06,UZ,1675880687
264,maraba,-5.3686,-49.1178,30.1,74,75,3.09,BR,1675880958
265,ahipara,-35.1667,173.1667,16.57,84,3,2.76,NZ,1675880606
266,anadyr,64.75,177.4833,-33.72,75,0,4.0,RU,1675880336
267,yar-sale,66.8333,70.8333,-9.36,93,38,7.11,RU,1675881171
268,ribeira grande,38.5167,-28.7,14.87,54,20,3.09,PT,1675880574
269,taree,-31.9,152.4667,17.81,98,63,1.34,AU,1675881171
270,kirillov,59.863,38.3813,-8.37,99,91,1.49,RU,1675881172
271,vila velha,-20.3297,-40.2925,29.97,73,20,6.69,BR,1675881172
272,los llanos de aridane,28.6585,-17.9182,15.86,70,75,2.06,ES,1675880793
273,huarmey,-10.0681,-78.1522,25.71,72,49,5.09,PE,1675881172
274,yokote,39.3,140.5667,-0.97,70,100,7.16,JP,1675881173
275,namibe,-15.1961,12.1522,22.92,71,99,5.94,AO,1675880728
276,lorengau,-2.0226,147.2712,24.53,85,100,3.42,PG,1675880476
277,peniche,39.3558,-9.3811,12.38,74,94,9.48,PT,1675880746
278,klaksvik,62.2266,-6.589,2.51,69,85,13.79,FO,1675881173
279,zlobin,45.2924,14.6541,-3.39,57,20,7.72,HR,1675881174
280,znamenskoye,57.1281,73.8282,-26.95,100,100,1.52,RU,1675881174
281,yenagoa,4.9247,6.2642,28.09,70,99,3.85,NG,1675881175
282,mayor pablo lagerenza,-19.9309,-60.7718,34.62,42,98,3.62,PY,1675881176
283,teya,60.3778,92.6267,-16.88,99,100,1.26,RU,1675880639
284,lagoa,39.05,-27.9833,13.6,61,30,5.97,PT,1675881176
285,rabo de peixe,37.8,-25.5833,13.73,62,75,6.17,PT,1675881177
286,khani,41.9563,42.9566,-1.24,97,98,0.73,GE,1675880784
287,macon,39.8667,-88.9668,5.49,70,0,4.63,US,1675881177
288,port augusta,-32.5,137.7667,25.33,20,2,2.27,AU,1675880672
289,north bend,43.4065,-124.2243,7.31,93,0,0.0,US,1675881013
290,ancud,-41.8697,-73.8203,18.57,72,11,4.14,CL,1675881178
